title,text,source,added_by
Бэтмен (1989),"Мужик в латексном чёрном костюме притворяется летучей мышью и творит беспредел в городе, думая, что помогает полиции.",,admin
Примесь (2013),"Крайне странный и трудный для понимания фильм. В то же время чувствуется серьёзный труд всех, кто приложил к нему руку. Не понятна ни суть, ни идея. В общем очень странное кино.",,roxe
Аллея кошмаров (2021),"Жанр страшной сказки от Гильермо дель Торо. От Диснея ждёшь чего-то детского, но ошибочно. Это не детское кино совсем, им нельзя. Точнее оно детское, но для уже больших детей. Такое чувство, что половина бюджета ушла на декорации и костюмы, а вторая половина — на гонорар актёров. Атмосферу создать удалось. Так и хочется побывать в этой обстановке начала 40-х годов.",,Тоня
Заплати другому (2000),"На одну длинную катушку плёнки здесь собрано большинство «популярных» человеческих пороков — алкоголизм, наркомания, бытовое насилие, равнодушие, причём как к окружающим, так и к себе, ну и так далее. И способ решения того, как постепенно начать выбираться из этой засасывающей трясины, пришёл в голову маленькому семикласснику.",,Turbo Kach
Тронутые (2014),"Как-то раз встретились парень с синдромом Туретта, маниакальный чистюля и апатичная анорексичка... Звучит как начало неудачного анекдота, не правда ли? Но нет, это просто краткое представление главных героев картины «Тронутые», того самого фильма, который даже при маленьком бюджете своей душевностью и простотой врезается в память лучше самого дорогого блокбастера.",,Степан
Резня (2011),"Может показаться, что это история про две семейные пары, которые что_то_там_вроде_про_своих_детей_обсуждают. Не верьте. То есть, абсолютно очевидно, обсуждают не про детей. Обсуждают что-то поважнее. Фильм «на посмотреть и подумать».",,Антон
Вмаяковский (2018),"Поклонникам Маяковского и экспериментального кино — к просмотру. Смело, ярко, современно. Обычно биографии снимают сухо, следуя хронологии, формально, об этом фильме такого не скажешь.",,Лера
8 женщин (2001),"Фильм о том, что убивают не люди, а обстоятельства, о том, что каждому из нас надо заботиться о ближнем, а не стремиться уязвить больнее. И о том, что лучше не знать правды о людях, ибо она зачастую убийственно ужасна. Блестящий фильм, блестящий актерский состав — все просто бесподобны. Этот фильм нужно смотреть обязательно.",,Jul Lik
Лемони Сникет: 33 несчастья (2004),"Отличное кино. Визуальный ряд, атмосфера и стиль на высоте. Удивляет то, что фильм сравнивают с Гариком Поттером. Здесь больше уместно сравнение с фильмами Тима Бёртона.

Джим Керри в очередной раз подтвердил, что фильму, в котором он играет, вовсе не нужен никакой сценарий (правда, в этом фильме сценарий очень даже неплохой). Дети сыграли очень хорошо. Комментарии Санни на пять баллов. Самое оригинальное начало фильма 2004. Смотрите и кайфуйте.",,Katika
Таксист (2017),"Фильм о цене свободы слова, фильм актуален для любой страны, фильм который говорит об одной очень важной идее: «Оставайся человеком и тогда, в какой бы тяжёлой ситуации тебе не пришлось оказаться — у тебя будет шанс».",,Тани
